연번,행정동,주소,데이터기준일자,위도,경도
91.0,개봉3동,서울 구로구 개봉로12길 38,2024-06-07,37.4880707298308,126.85853758417
92.0,개봉3동,서울 구로구 개봉로14길 26,2024-06-07,37.4885806162765,126.858392568535
93.0,개봉3동,서울 구로구 개봉로2길 87-1,2024-06-07,37.488786710889,126.859705178819
94.0,개봉3동,서울 구로구 개봉로2길 75-10,2024-06-07,37.4887465436313,126.859189869187
95.0,개봉3동,서울 구로구 개봉로2길 87-15,2024-06-07,37.4890130932154,126.859140860552
96.0,개봉3동,서울 구로구 개봉로5길 6,2024-06-07,37.486931414954,126.855271675336
97.0,개봉3동,서울 구로구 개봉로5길 32,2024-06-07,37.4868390137376,126.853842087441
98.0,개봉3동,서울 구로구 개봉로5길 22,2024-06-07,37.4868810878484,126.854496679305
99.0,개봉3동,서울 구로구 개봉로11길 27-14,2024-06-07,37.4874406368415,126.854442563945
100.0,개봉3동,서울 구로구 개봉로11길 27,2024-06-07,37.4879111136295,126.854638395155
101.0,개봉3동,서울 구로구 개봉로11길 55-18,2024-06-07,37.4871215865332,126.852911874497
102.0,개봉3동,서울 구로구 개봉로11길 45-4,2024-06-07,37.4876257164177,126.853359890489
103.0,개봉3동,서울 구로구 개봉로11길 66-40,2024-06-07,37.4882552076653,126.851450686193
104.0,개봉3동,서울 구로구 개봉로11길 66,2024-06-07,37.487975901926,126.852534689364
105.0,개봉3동,서울 구로구 개봉로11길 28-3,2024-06-07,37.4882049694252,126.854376064671
106.0,개봉3동,서울 구로구 개봉로11길 18-7,2024-06-07,37.4883456208402,126.854892078184
107.0,개봉3동,서울 구로구 개봉로11길 10-30,2024-06-07,37.488520809887,126.855654750649
108.0,개봉3동,서울 구로구 개봉로12길 9-10,2024-06-07,37.4885546714426,126.857049318898
109.0,개봉3동,서울 구로구 개봉로14길 7,2024-06-07,37.4887433653607,126.857291952251
110.0,개봉3동,서울 구로구 개봉로12길 9-19,2024-06-07,37.489172390128,126.856742052606
111.0,개봉3동,서울 구로구 개봉로11길 10-38,2024-06-07,37.4888663135227,126.855628079107
112.0,개봉3동,서울 구로구 개봉로11길 46-26,2024-06-07,37.4891347435286,126.85352157519
113.0,개봉3동,서울 구로구 개봉로11가길 30,2024-06-07,37.4892138976894,126.852978103608
114.0,개봉3동,서울 구로구 개봉로15길 33,2024-06-07,37.4897537031429,126.85422402654
115.0,개봉3동,서울 구로구 개봉로11길 38-40,2024-06-07,37.4897808264012,126.853934617164
116.0,개봉3동,서울 구로구 개봉로15길 49,2024-06-07,37.4897365823235,126.853131425265
117.0,개봉3동,서울 구로구 개봉로11가길 42,2024-06-07,37.4897882396665,126.852865599927
118.0,고척2동,서울특별시 구로구 고척로27라길 25,2024-06-07,37.5059202482403,126.847290764147
119.0,고척2동,서울특별시 구로구 고척로27마길 26-1,2024-06-07,37.5064227646757,126.847032552946
120.0,고척2동,서울특별시 구로구 고척로33길 97,2024-06-07,37.5067225067322,126.847085098179
121.0,고척2동,서울특별시 구로구 고척로27바길 30,2024-06-07,37.5070833657328,126.846881686552
122.0,고척2동,서울특별시 구로구 고척로27바길 37-12,2024-06-07,37.5079372509713,126.847371820842
123.0,고척2동,서울특별시 구로구 고척로27바길 52,2024-06-07,37.5074547616022,126.84813951325
124.0,고척2동,서울특별시 구로구 고척로27바길 64,2024-06-07,37.5079100238966,126.84925320579
125.0,고척2동,서울특별시 구로구 고척로33라길 13,2024-06-07,37.5068348976836,126.84837092706
126.0,고척2동,서울특별시 구로구 고척로33라길 5,2024-06-07,37.5065724311558,126.848578542981
127.0,고척2동,서울특별시 구로구 고척로27다길 55-12,2024-06-07,37.5062976841188,126.848976754062
128.0,고척2동,서울특별시 구로구 고척로33다길 18,2024-06-07,37.5061127833746,126.848472819263
129.0,고척2동,서울특별시 구로구 고척로27다길 48,2024-06-07,37.505508879104,126.848784493388
130.0,고척2동,서울특별시 구로구 고척로51길 126-7,2024-06-07,37.5075332370485,126.849616904201
131.0,고척2동,서울특별시 구로구 고척로33라길 14-20,2024-06-07,37.5072418226556,126.84959362459
132.0,고척2동,서울특별시 구로구 고척로51가길 2,2024-06-07,37.5075621557933,126.851896169193
133.0,고척2동,서울특별시 구로구 고척로51길 64-4,2024-06-07,37.5070177647558,126.853337009085
134.0,고척2동,서울특별시 구로구 고척로51길 50,2024-06-07,37.5068509444388,126.853955652375
135.0,고척2동,서울특별시 구로구 고척로47길 55-12,2024-06-07,37.5070890186495,126.854270851289
136.0,고척2동,서울특별시 구로구 중앙로15길 99,2024-06-07,37.5071279154371,126.854395412182
137.0,고척2동,서울특별시 구로구 고척로51길 40,2024-06-07,37.5065397442246,126.854472104941
138.0,고척2동,서울특별시 구로구 고척로51길 33,2024-06-07,37.5061791543058,126.854685204545
139.0,고척2동,서울특별시 구로구 고척로51길 16,2024-06-07,37.5058038245058,126.855442898846
140.0,고척2동,서울특별시 구로구 고척로47길 16,2024-06-07,37.5051820896242,126.854308826526
141.0,고척2동,서울특별시 구로구 고척로47길 27,2024-06-07,37.5056679225193,126.854317948134
142.0,고척2동,서울특별시 구로구 고척로 179-10,2024-06-07,37.5046971315406,126.853404656754
143.0,고척2동,서울특별시 구로구 중앙로13길 9,2024-06-07,37.5057396228929,126.85988789451
144.0,고척2동,서울특별시 구로구 고척로60길 12,2024-06-07,37.5057668298803,126.85927869659
145.0,고척2동,서울특별시 구로구 고척로52나길 58,2024-06-07,37.5055359904373,126.859125769152
146.0,고척2동,서울특별시 구로구 고척로52가길 13,2024-06-07,37.5040443350644,126.855436678211
147.0,고척2동,서울특별시 구로구 고척로48길 20,2024-06-07,37.5037213934957,126.85373578452
148.0,고척2동,서울특별시 구로구 고척로52가길 49,2024-06-07,37.5033866871237,126.853531283802
149.0,고척2동,서울특별시 구로구 고척로52가길 65,2024-06-07,37.5030841755899,126.852843244323
150.0,고척2동,서울특별시 구로구 고척로52가길 73,2024-06-07,37.5029293682918,126.852398184216
151.0,고척2동,서울특별시 구로구 경인로35길 140,2024-06-07,37.5027111892647,126.851857800068
152.0,고척2동,서울특별시 구로구 경인로35나길 19-14,2024-06-07,37.5013162248114,126.852988983208
153.0,고척2동,서울특별시 구로구 경인로35나길 17,2024-06-07,37.5004761714062,126.852879462483
154.0,구로2동,벚꽃로 378,2024-06-07,37.4877611418526,126.88065826572
155.0,구로2동,가마산로 20다길 45,2024-06-07,37.4928330690828,126.888760656802
156.0,구로2동,가마산로 20다길 3,2024-06-07,37.4925401668134,126.886315546458
157.0,구로2동,구로동로 28길 33-36,2024-06-07,37.4922863391204,126.885927056166
158.0,구로2동,구로동로 28길 31,2024-06-07,37.4908922648947,126.885889486629
159.0,구로2동,구로동로 28번길 51,2024-06-07,37.4843030659302,126.886689839485
160.0,구로2동,구로동로 28길 78-2,2024-06-07,37.4911090843723,126.888285240579
161.0,구로2동,가마산로 20다길 45 (추가),2024-06-07,37.4928330690828,126.888760656802
162.0,구로2동,구로동로 42길 26,2024-06-07,37.4967779740932,126.88346278071
163.0,구로2동,구로동로 42길 9,2024-06-07,37.4963212181369,126.88278894434
164.0,구로2동,구로동로 43길 10,2024-06-07,37.4967066330934,126.881848835175
165.0,구로2동,구로동로 43길 44-6,2024-06-07,37.4957370677884,126.880690808236
166.0,구로2동,벚꽃로 470,2024-06-07,37.4960932092779,126.880042046096
